record_id,year,month,location_name,geo_level,sector,commodity,sub_item,attribute,value,unit,data_type,appendix_number
8ab9c6d6-9c92-4f37-a378-3a6d027e9a62,2008,11,Cả Nước,Provincial,Cultivation,Lúa,Mùa,Area_Harvested,1455.9,1000_ha,Actual,PL1
e5f9a09c-e195-487d-820d-4942999177ff,2009,11,Cả Nước,Provincial,Cultivation,Lúa,Mùa,Area_Harvested,1473.3,1000_ha,Actual,PL1
355fa403-5193-41d1-a4ce-995c00c9a2aa,2008,11,Miền Nam,Regional,Cultivation,Lúa,Đông Xuân,Area_Planted,274.6,1000_ha,Actual,PL1
c32d67ab-b518-459e-be1f-32599ab8b75d,2009,11,Miền Nam,Regional,Cultivation,Lúa,Đông Xuân,Area_Planted,332.7,1000_ha,Actual,PL1
4c32a61b-94d2-4528-aae4-8f862b10318c,2008,11,Cả nước,National,Cultivation,Khoai lang,,Area_Planted,55.6,1000_ha,Actual,PL1
1ee90841-6f9a-4b35-b249-9c1fd8f833ea,2009,11,Cả nước,National,Cultivation,Khoai lang,,Area_Planted,44.6,1000_ha,Actual,PL1
02c7f54a-c893-4abe-90d9-529f7f14ff74,2008,11,Cả nước,National,Cultivation,Đậu tương,,Area_Planted,78.0,1000_ha,Actual,PL1
805edb80-67e4-4b22-90dc-4a6231cd8353,2009,11,Cả nước,National,Cultivation,Đậu tương,,Area_Planted,79.7,1000_ha,Actual,PL1
9d0ef820-3057-4b4b-9e6b-4969a49cff20,2008,11,Cả nước,National,Cultivation,Rau đậu,,Area_Planted,100.4,1000_ha,Actual,PL1
5e19c521-6f26-4a83-9e0c-a345201066b6,2009,11,Cả nước,National,Cultivation,Rau đậu,,Area_Planted,109.0,1000_ha,Actual,PL1
ba16acad-3083-4acc-bc05-ea82a191eee2,2009,11,Miền Bắc,Regional,Cultivation,Lúa,,Area_Planted,1188053.0,ha,Actual,PL2
95c5f630-251b-4e71-aba1-e66bfb08b553,2009,11,Miền Bắc,Regional,Cultivation,Lúa,,Area_Planted,1152518.0,ha,Actual,PL2
260767d9-6c28-4586-910e-8732a87d243c,2009,11,Miền Bắc,Regional,Cultivation,Lúa,,Area_Planted,412837.0,ha,Actual,PL2
08ee0e80-411f-4cc4-9c48-0a2c8c1bcf3c,2009,11,Miền Bắc,Regional,Cultivation,Ngô,,Area_Planted,146925.0,ha,Actual,PL2
9ba2b694-a77c-4ede-a2f7-a3664b131284,2009,11,Miền Bắc,Regional,Cultivation,Khoai lang,,Area_Planted,44629.0,ha,Actual,PL2
3757d7f9-2aef-42fc-9aeb-ed497703088b,2009,11,Miền Bắc,Regional,Cultivation,Đậu,,Area_Planted,79702.0,ha,Actual,PL2
ab515939-7031-4346-9364-62a96077abfc,2009,11,Miền Bắc,Regional,Cultivation,Lạc,,Area_Planted,7454.0,ha,Actual,PL2
a4d65113-f7a0-4525-b6f6-781e92ffe7d6,2009,11,Miền Bắc,Regional,Cultivation,Rau,,Area_Planted,109012.0,ha,Actual,PL2
8fd89cd9-c536-41cf-9819-7cf2207b13c0,2009,11,Miền Bắc,Regional,Cultivation,Lúa,,Area_Planted,12521.0,ha,Actual,PL2
26068725-dd9a-48f5-bd43-974549fd380a,2009,11,ĐB sông Hồng,Provincial,Cultivation,Lúa,,Area_Planted,553864.0,ha,Actual,PL2
502c98e8-e83b-4df2-8d8b-9c9f1e0bd13b,2009,11,ĐB sông Hồng,Provincial,Cultivation,Lúa,,Area_Planted,553799.0,ha,Actual,PL2
a677b09c-60ec-4624-98a0-b36ed805965e,2009,11,ĐB sông Hồng,Provincial,Cultivation,Lúa,,Area_Planted,227886.0,ha,Actual,PL2
81f77cd7-5f95-4982-a774-bd8626c45ab7,2009,11,ĐB sông Hồng,Provincial,Cultivation,Ngô,,Area_Planted,55102.0,ha,Actual,PL2
07f73af5-4679-4929-9f3b-c36a3704a089,2009,11,ĐB sông Hồng,Provincial,Cultivation,Khoai lang,,Area_Planted,14430.0,ha,Actual,PL2
71b6ae99-dac0-4e10-a004-de9880a47cc4,2009,11,ĐB sông Hồng,Provincial,Cultivation,Đậu,,Area_Planted,74330.0,ha,Actual,PL2
