record_id,year,month,location_name,geo_level,sector,commodity,sub_item,attribute,value,unit,data_type,appendix_number
3a2520b1-abc1-4762-a653-81c150a7b5bb,2009,1,Cả Nước,Provincial,Cultivation,Lúa,Đông Xuân,Area_Planted,1822.7,1000_ha,Actual,PL1
00341cae-144d-4c26-b713-343dde6c6212,2010,1,Cả Nước,Provincial,Cultivation,Lúa,Đông Xuân,Area_Planted,1881.0,1000_ha,Actual,PL1
a03d3d6c-c03f-4863-b906-af2aa095672e,2009,1,Miền Nam,Regional,Cultivation,Lúa,Mùa,Area_Harvested,680.3,1000_ha,Actual,PL1
f219145a-9d7b-4d8f-a133-96a2f1b91d7e,2010,1,Miền Nam,Regional,Cultivation,Lúa,Mùa,Area_Harvested,647.0,1000_ha,Actual,PL1
340650c4-45ab-447a-bd04-3d24e6d2b04b,2009,1,Cả nước,National,Cultivation,Màu lương thực,,Area_Planted,282.4,1000_ha,Actual,PL1
9013952d-0280-4ecb-a6c5-8ce9ca8053f3,2010,1,Cả nước,National,Cultivation,Màu lương thực,,Area_Planted,298.1,1000_ha,Actual,PL1
60d54d9a-6e83-496c-b52a-51a6e6517966,2009,1,Cả nước,National,Cultivation,Khoai lang,,Area_Planted,57.8,1000_ha,Actual,PL1
561153ac-bf6e-4aa2-94fb-d62095f67940,2010,1,Cả nước,National,Cultivation,Khoai lang,,Area_Planted,69.4,1000_ha,Actual,PL1
4e1e46f2-5674-42c2-81aa-d37cc7f1a07e,2009,1,Cả nước,National,Cultivation,Cây công nghiệp ngắn ngày,,Area_Planted,104.7,1000_ha,Actual,PL1
5d8861f2-f7b7-45db-b429-f7fee07a4832,2010,1,Cả nước,National,Cultivation,Cây công nghiệp ngắn ngày,,Area_Planted,127.2,1000_ha,Actual,PL1
21feb731-5078-4051-91b2-55fed8d49e40,2009,1,Cả nước,National,Cultivation,Lạc,,Area_Planted,28.5,1000_ha,Actual,PL1
796fcc30-7818-4f13-9ad3-474de41e9077,2010,1,Cả nước,National,Cultivation,Lạc,,Area_Planted,30.3,1000_ha,Actual,PL1
af628a54-582b-489b-9a9b-4c299c817a38,2009,1,Cả nước,National,Cultivation,Rau đậu,,Area_Planted,210.5,1000_ha,Actual,PL1
